run_id,workload,policy,gate_enabled,lambda_source,cache_size_entries,cluster_count_k,ttl_confidence,seed,split,n_queries,n_hits,n_misses,n_stale_hits_served,n_stale_hits_prevented,n_false_hits,n_useful_hits,hit_rate,stale_hit_rate,false_hit_rate,useful_hit_rate,cost_saved_usd,cost_spent_usd,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_qps,overhead_mean_ms,peak_rss_mb,cpu_pct,cluster_ari,git_sha,timestamp
sweep-cluster_k-5-seed0,w1,FRECOS,True,learned,495,5,0.9,0,eval,1890,726,1164,129,1056,656,60,0.38412698412698415,0.17768595041322313,0.9035812672176309,0.08264462809917356,0.28074865481208205,6.344444944761742,84.47330295807116,69.47206811019713,255.28098593327033,399.226263708461,11.838059658876558,0.24045270266474555,186.390625,90.5,0.459859461607812,eeb95b1,2026-08-08T15:35:17.580507+00:00
sweep-cluster_k-5-seed1,w1,FRECOS,True,learned,495,5,0.9,1,eval,1890,763,1127,55,1007,724,37,0.40370370370370373,0.07208387942332896,0.9488859764089121,0.04849279161205767,0.08194031381654841,2.836255235918077,65.97403857160795,59.94351938002462,192.66867086615989,282.50864090235825,15.157477420676681,0.23963366543982553,186.5,94.2,0.4254326615005385,eeb95b1,2026-08-08T15:35:18.598906+00:00
sweep-cluster_k-5-seed2,w1,FRECOS,True,learned,495,5,0.9,2,eval,1890,779,1111,72,990,743,35,0.4121693121693122,0.09242618741976893,0.9537869062901155,0.044929396662387676,0.07505079863304182,2.6027728419023966,88.49619877545625,71.69979455396364,288.81266611322496,407.18258081033645,11.299920378923014,0.2522850139978189,190.890625,94.3,0.43817478804142757,eeb95b1,2026-08-08T15:35:19.637204+00:00
sweep-cluster_k-5-seed3,w1,FRECOS,True,learned,495,5,0.9,3,eval,1890,643,1247,50,1127,594,44,0.3402116402116402,0.07776049766718507,0.9237947122861586,0.06842923794712286,0.08533149717679335,2.7800155090846257,98.57642622102227,85.95499210149316,302.9161478140838,428.3587464025279,10.144413206438005,0.2533558131073646,190.984375,94.6,0.4508233410462996,eeb95b1,2026-08-08T15:35:20.586544+00:00
sweep-cluster_k-5-seed4,w1,FRECOS,True,learned,495,5,0.9,4,eval,1890,844,1046,54,926,802,40,0.44656084656084655,0.06398104265402843,0.9502369668246445,0.04739336492890995,0.21012591257120208,4.637089607087567,91.91369451646072,60.58254904004997,302.24825921287186,523.8955319280022,10.879771564626978,0.2500223893630343,193.1875,94.1,0.48497964051533893,eeb95b1,2026-08-08T15:35:21.526263+00:00
sweep-cluster_k-10-seed0,w1,FRECOS,True,learned,495,10,0.9,0,eval,1890,675,1215,59,1012,613,59,0.35714285714285715,0.0874074074074074,0.9081481481481481,0.0874074074074074,0.20521078171962787,4.040757315708909,95.05230022904483,81.0697921998212,292.1017539134741,468.4504370892536,10.520523938824505,0.3250578854161576,206.609375,94.4,0.5229378675187831,eeb95b1,2026-08-08T15:35:22.668967+00:00
sweep-cluster_k-10-seed1,w1,FRECOS,True,learned,495,10,0.9,1,eval,1890,635,1255,43,1045,581,49,0.335978835978836,0.06771653543307087,0.9149606299212598,0.07716535433070866,0.11059956028138054,2.809133208583249,86.38312165233833,80.30367219163341,246.5366949662676,383.29139729308923,11.576335525644096,0.32588520534484394,206.65625,93.4,0.41935936310109573,eeb95b1,2026-08-08T15:35:23.786927+00:00
sweep-cluster_k-10-seed2,w1,FRECOS,True,learned,495,10,0.9,2,eval,1890,574,1316,29,1130,523,46,0.3037037037037037,0.050522648083623695,0.9111498257839721,0.08013937282229965,0.15274329725151436,4.31671010414203,101.92883053429456,91.7603193216179,279.8456593768359,415.4921851807476,9.810766931771516,0.3232120510551674,206.65625,93.7,0.45350574293588486,eeb95b1,2026-08-08T15:35:24.886432+00:00
sweep-cluster_k-10-seed3,w1,FRECOS,True,learned,495,10,0.9,3,eval,1890,552,1338,48,1138,489,60,0.2920634920634921,0.08695652173913043,0.8858695652173914,0.10869565217391304,0.19087148785599023,4.532308724438558,100.37688345123502,84.9376601745698,293.9843483912404,479.22864378218793,9.962453162692771,0.3244514425412047,202.546875,92.7,0.4088871256432895,eeb95b1,2026-08-08T15:35:25.983907+00:00
sweep-cluster_k-10-seed4,w1,FRECOS,True,learned,495,10,0.9,4,eval,1890,725,1165,47,987,673,50,0.3835978835978836,0.06482758620689655,0.9282758620689655,0.06896551724137931,0.2975178051745132,6.288784662835326,90.52630146341882,77.15857351923265,277.40135663840044,418.59425787468035,11.046513376050102,0.2930005828304236,187.03125,94.8,0.3946334934250692,eeb95b1,2026-08-08T15:35:26.976901+00:00
sweep-cluster_k-20-seed0,w1,FRECOS,True,learned,495,20,0.9,0,eval,1890,710,1180,112,883,632,67,0.37566137566137564,0.15774647887323945,0.8901408450704226,0.09436619718309859,0.26033220977869626,4.6119874781482375,97.29669526032568,75.98978215875013,310.8277882186794,571.0171702842789,10.277841372971755,0.3847552428148914,405.921875,93.9,0.2634015051904158,eeb95b1,2026-08-08T15:35:28.438934+00:00
sweep-cluster_k-20-seed1,w1,FRECOS,True,learned,495,20,0.9,1,eval,1890,634,1256,52,953,565,60,0.33544973544973544,0.08201892744479496,0.8911671924290221,0.0946372239747634,0.28859181502298076,5.222928098042056,96.64909029109675,88.10103614257451,267.8197529274827,428.5412586242352,10.346708872148787,0.395676670669918,418.484375,94.4,0.33961741540373264,eeb95b1,2026-08-08T15:35:29.827214+00:00
sweep-cluster_k-20-seed2,w1,FRECOS,True,learned,495,20,0.9,2,eval,1890,644,1246,38,957,588,53,0.34074074074074073,0.059006211180124224,0.9130434782608695,0.08229813664596274,0.1897504748115836,4.95165899274311,88.36954298415802,78.75346513552834,253.62148617653986,368.16484571358734,11.316116008196055,0.36866008766025066,415.15625,93.5,0.31462891618280053,eeb95b1,2026-08-08T15:35:31.125265+00:00
sweep-cluster_k-20-seed3,w1,FRECOS,True,learned,495,20,0.9,3,eval,1890,638,1252,61,950,580,48,0.33756613756613757,0.09561128526645768,0.9090909090909091,0.07523510971786834,0.18901473336080477,4.51719331987987,98.31494606671833,85.1806340199262,284.38699406613154,448.39297987082267,10.171393465662705,0.40096842733744,328.3125,95.2,0.272379828441402,eeb95b1,2026-08-08T15:35:32.605458+00:00
sweep-cluster_k-20-seed4,w1,FRECOS,True,learned,495,20,0.9,4,eval,1890,650,1240,44,932,596,51,0.3439153439153439,0.06769230769230769,0.916923076923077,0.07846153846153846,0.20804763929491274,4.845847717848725,95.1524377849325,82.3739505025352,286.95419212917386,435.8153260365482,10.509452235582671,0.3960056624944425,350.859375,95.6,0.23939897844240976,eeb95b1,2026-08-08T15:35:34.054713+00:00
