run_id,workload,policy,gate_enabled,lambda_source,cache_size_entries,cluster_count_k,ttl_confidence,seed,split,n_queries,n_hits,n_misses,n_stale_hits_served,n_stale_hits_prevented,n_false_hits,n_useful_hits,hit_rate,stale_hit_rate,false_hit_rate,useful_hit_rate,cost_saved_usd,cost_spent_usd,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_qps,overhead_mean_ms,peak_rss_mb,cpu_pct,cluster_ari,git_sha,timestamp
ablation-w1-row1_lru-seed0,w1,LRU,False,none,412,10,0.9,0,eval,1890,1687,203,896,0,1535,53,0.8925925925925926,0.5311203319502075,0.9098992294013041,0.03141671606401897,2.7273874347009426,0.6738576321189421,16.457658647284163,0.37581249853246845,132.6432500542673,267.729397596401,60.761984522325704,0.36209212533432666,189.703125,94.8,0.5229378675187831,5816e57,2026-08-01T20:27:15.820364+00:00
ablation-w1-row1_lru-seed1,w1,LRU,False,none,412,10,0.9,1,eval,1890,1680,210,918,0,1552,29,0.8888888888888888,0.5464285714285714,0.9238095238095239,0.017261904761904763,1.8978029208914817,0.45209685209803063,15.185877677327852,0.38458349990833085,123.47942550928225,226.1398899588399,65.85065553984909,0.43363167455671825,206.109375,86.2,0.41935936310109573,5816e57,2026-08-01T20:27:17.228929+00:00
ablation-w1-row1_lru-seed2,w1,LRU,False,none,412,10,0.9,2,eval,1890,1704,186,983,0,1572,25,0.9015873015873016,0.5768779342723005,0.9225352112676056,0.014671361502347418,2.2312497527123676,0.6205163337788105,14.609654830634215,0.3678130015032366,127.9950355297036,266.9122865569249,68.44788679765061,0.35991329418841156,206.109375,93.9,0.45350574293588486,5816e57,2026-08-01T20:27:18.467886+00:00
ablation-w1-row1_lru-seed3,w1,LRU,False,none,412,10,0.9,3,eval,1890,1690,200,1013,0,1559,33,0.8941798941798942,0.5994082840236686,0.9224852071005917,0.01952662721893491,2.416416420300833,0.6692730389990564,13.478740207250757,0.37327050085878,112.13208365803152,220.15963200869115,74.19090987910427,0.36338729470987957,206.125,95.0,0.4088871256432895,5816e57,2026-08-01T20:27:19.700832+00:00
ablation-w1-row1_lru-seed4,w1,LRU,False,none,412,10,0.9,4,eval,1890,1712,178,799,0,1578,31,0.9058201058201059,0.46670560747663553,0.9217289719626168,0.018107476635514017,5.013105921852636,1.0183408282808823,14.76632672338684,0.3627914993558079,118.5453940247313,281.28136640037405,67.72164931283855,0.3555187005793741,206.140625,93.4,0.3946334934250692,5816e57,2026-08-01T20:27:20.861432+00:00
ablation-w1-row2_lfu-seed0,w1,LFU,False,none,412,10,0.9,0,eval,1890,1687,203,896,0,1535,53,0.8925925925925926,0.5311203319502075,0.9098992294013041,0.03141671606401897,2.7273874347009426,0.6738576321189421,16.503017718799843,0.36945850115444046,132.6479483058087,267.71007208596234,60.59497826635816,0.4074511968500071,206.140625,80.2,0.5229378675187831,5816e57,2026-08-01T20:27:22.219594+00:00
ablation-w1-row2_lfu-seed1,w1,LFU,False,none,412,10,0.9,1,eval,1890,1680,210,918,0,1552,29,0.8888888888888888,0.5464285714285714,0.9238095238095239,0.017261904761904763,1.8978029208914817,0.45209685209803063,15.075878726591501,0.3291254997748183,123.40635660835346,226.13444269217285,66.3311252455325,0.32363272382036684,206.140625,94.3,0.41935936310109573,5816e57,2026-08-01T20:27:23.316970+00:00
ablation-w1-row2_lfu-seed2,w1,LFU,False,none,412,10,0.9,2,eval,1890,1704,186,983,0,1572,25,0.9015873015873016,0.5768779342723005,0.9225352112676056,0.014671361502347418,2.2312497527123676,0.6205163337788105,14.59782166501325,0.3548125005181646,127.96737972795323,266.9088286775319,68.50337145827109,0.348080128567446,206.140625,92.4,0.45350574293588486,5816e57,2026-08-01T20:27:24.471719+00:00
ablation-w1-row2_lfu-seed3,w1,LFU,False,none,412,10,0.9,3,eval,1890,1690,200,1013,0,1559,33,0.8941798941798942,0.5994082840236686,0.9224852071005917,0.01952662721893491,2.416416420300833,0.6692730389990564,13.450898344841242,0.3448959996603662,112.17085530766494,220.2744536256443,74.34447680466823,0.33554543230036477,206.140625,91.9,0.4088871256432895,5816e57,2026-08-01T20:27:25.562606+00:00
ablation-w1-row2_lfu-seed4,w1,LFU,False,none,412,10,0.9,4,eval,1890,1712,178,799,0,1578,31,0.9058201058201059,0.46670560747663553,0.9217289719626168,0.018107476635514017,5.013105921852636,1.0183408282808823,14.763906128101443,0.349458001437597,118.43072382423962,281.3800614023537,67.73275251978282,0.353098105293977,206.140625,89.4,0.3946334934250692,5816e57,2026-08-01T20:27:26.686742+00:00
