run_id,workload,policy,gate_enabled,lambda_source,cache_size_entries,cluster_count_k,ttl_confidence,seed,split,n_queries,n_hits,n_misses,n_stale_hits_served,n_stale_hits_prevented,n_false_hits,hit_rate,stale_hit_rate,false_hit_rate,cost_saved_usd,cost_spent_usd,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_qps,overhead_mean_ms,peak_rss_mb,cpu_pct,git_sha,timestamp
ablation-w1-row5_gate_frecos_smallcache-seed0,w1,FRECOS,True,learned,330,10,0.9,0,eval,7560,101,7459,3,57,0,0.01335978835978836,0.0297029702970297,0.0,0.35515798491403133,25.690657580344123,140.4172169574387,119.02036482904583,306.7806885247227,460.8144470219783,7.121633811494113,0.0005591265507203788,45.328125,98.6,3e9c9d8,2026-07-25T21:49:25.037149+00:00
ablation-w1-row5_gate_frecos_smallcache-seed1,w1,FRECOS,True,learned,330,10,0.9,1,eval,7560,74,7486,1,45,0,0.009788359788359789,0.013513513513513514,0.0,0.15364430549520217,18.7534975176204,131.3849109127979,112.79565485201023,284.70776925712556,418.11528050303593,7.611224097596069,0.0005177606297404353,45.640625,99.3,3e9c9d8,2026-07-25T21:49:28.213785+00:00
ablation-w1-row5_gate_frecos_smallcache-seed2,w1,FRECOS,True,learned,330,10,0.9,2,eval,7560,100,7460,2,61,0,0.013227513227513227,0.02,0.0,0.34375769071614193,24.630547228595937,146.24101035820374,125.54464982104528,317.00434179094157,466.67027790698717,6.83802715497242,0.0005234002668340321,45.6875,99.5,3e9c9d8,2026-07-25T21:49:31.300075+00:00
ablation-w1-row5_gate_frecos_smallcache-seed3,w1,FRECOS,True,learned,330,10,0.9,3,eval,7560,106,7454,3,65,0,0.014021164021164021,0.02830188679245283,0.0,0.3375970015429198,26.603136000803506,137.29438208556036,115.76039076696625,307.4429321981778,463.4906841030364,7.2836192188607605,0.0005135377601839888,46.578125,99.5,3e9c9d8,2026-07-25T21:49:34.411626+00:00
ablation-w1-row5_gate_frecos_smallcache-seed4,w1,FRECOS,True,learned,330,10,0.9,4,eval,7560,97,7463,1,37,0,0.012830687830687831,0.010309278350515464,0.0,0.5462257414430717,40.86359209230503,144.15855886869443,122.90694604217319,311.03974219959406,485.10337142453955,6.936806304444547,0.0005536139888039707,46.578125,99.1,3e9c9d8,2026-07-25T21:49:37.574644+00:00
ablation-w1-row5_gate_frecos_smallcache-seed5,w1,FRECOS,True,learned,330,10,0.9,5,eval,7560,102,7458,7,91,0,0.013492063492063493,0.06862745098039216,0.0,0.4223358080845968,31.293032126446743,125.40711087110351,107.13252082032898,266.96415724550707,393.1692010197633,7.974029487273847,0.0005225689867517551,44.734375,99.6,3e9c9d8,2026-07-25T21:49:40.688825+00:00
ablation-w1-row5_gate_frecos_smallcache-seed6,w1,FRECOS,True,learned,330,10,0.9,6,eval,7560,88,7472,2,53,0,0.01164021164021164,0.022727272727272728,0.0,0.3282114567580844,30.698011378240647,146.99586726911295,122.4396965701755,329.25649462531175,540.2235590223097,6.80291234425828,0.000542052965669735,44.734375,99.1,3e9c9d8,2026-07-25T21:49:43.850010+00:00
ablation-w1-row5_gate_frecos_smallcache-seed7,w1,FRECOS,True,learned,330,10,0.9,7,eval,7560,99,7461,1,50,0,0.013095238095238096,0.010101010101010102,0.0,0.5294631937815656,31.509949910696516,119.1147929280631,102.05644110259695,254.41157444235864,359.5356932653796,8.395262883963785,0.0005837578885288042,44.734375,96.1,3e9c9d8,2026-07-25T21:49:47.170612+00:00
ablation-w1-row5_gate_frecos_smallcache-seed8,w1,FRECOS,True,learned,330,10,0.9,8,eval,7560,92,7468,2,40,0,0.01216931216931217,0.021739130434782608,0.0,0.21326273617757058,17.70223069909381,125.66269131595479,107.76236819572203,275.48292429547297,413.7419856885339,7.957811419824611,0.0005459803774510633,44.546875,99.5,3e9c9d8,2026-07-25T21:49:50.352714+00:00
ablation-w1-row5_gate_frecos_smallcache-seed9,w1,FRECOS,True,learned,330,10,0.9,9,eval,7560,97,7463,1,31,0,0.012830687830687831,0.010309278350515464,0.0,0.36720572371668125,30.23125808896891,129.610961708156,109.09344328651723,286.81373970193874,446.9878396503212,7.715396806110368,0.000551142182389629,44.546875,99.4,3e9c9d8,2026-07-25T21:49:53.535899+00:00
