run_id,workload,policy,gate_enabled,lambda_source,cache_size_entries,cluster_count_k,ttl_confidence,seed,split,n_queries,n_hits,n_misses,n_stale_hits_served,n_stale_hits_prevented,n_false_hits,n_useful_hits,hit_rate,stale_hit_rate,false_hit_rate,useful_hit_rate,cost_saved_usd,cost_spent_usd,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_qps,overhead_mean_ms,peak_rss_mb,cpu_pct,cluster_ari,git_sha,timestamp
calib-sweep-w1-global-seed0,w1,FRECOS,True,global,248,10,0.9,0,eval,1134,418,716,62,527,369,34,0.36860670194003525,0.14832535885167464,0.8827751196172249,0.08133971291866028,1.251990560739816,2.3759320372923414,89.60783981037088,78.15557409110095,264.0800495595574,404.0318796497071,11.159737832272391,0.6372673510163117,238.203125,72.3,0.4227698020079729,5816e57,2026-08-01T20:48:14.436849+00:00
calib-sweep-w1-global-seed1,w1,FRECOS,True,global,248,10,0.9,1,eval,1134,447,687,49,509,404,32,0.3941798941798942,0.10961968680089486,0.9038031319910514,0.07158836689038031,1.0766494118631849,1.670597115377745,77.56070348939924,65.96983168363954,231.90757365502807,354.06065592585105,12.893126996155686,0.3740823853329431,221.015625,82.0,0.40733880287528845,5816e57,2026-08-01T20:49:47.573163+00:00
calib-sweep-w1-global-seed2,w1,FRECOS,True,global,248,10,0.9,2,eval,1134,381,753,45,575,343,35,0.335978835978836,0.11811023622047244,0.9002624671916011,0.09186351706036745,1.2288935259412,2.3195972688019593,95.70982274970655,82.62351215545974,276.6156779741114,404.8185178863126,10.448248374831161,0.3118176278239106,225.265625,81.6,0.36271430611003436,5816e57,2026-08-01T20:51:12.302305+00:00
calib-sweep-w1-global-seed3,w1,FRECOS,True,global,248,10,0.9,3,eval,1134,368,766,35,588,334,30,0.32451499118165783,0.09510869565217392,0.907608695652174,0.08152173913043478,1.2843368183596984,2.688520447079063,95.84989015345117,79.88749484954775,283.25553301357326,450.1927525899032,10.432980135908835,0.3853730053462378,223.84375,74.2,0.47921294127638475,5816e57,2026-08-01T20:52:35.031379+00:00
calib-sweep-w1-global-seed4,w1,FRECOS,True,global,248,10,0.9,4,eval,1134,432,702,36,537,395,33,0.38095238095238093,0.08333333333333333,0.9143518518518519,0.0763888888888889,2.265236023359517,3.899896981941997,93.1297210298289,76.2736566849772,291.64625145342933,470.8160332161819,10.737710678631862,0.5116302522115542,217.734375,60.6,0.3968197932684652,5816e57,2026-08-01T20:53:50.360689+00:00
calib-sweep-w1-learned-seed0,w1,FRECOS,True,learned,248,10,0.9,0,eval,1134,390,744,34,555,349,35,0.3439153439153439,0.08717948717948718,0.8948717948717949,0.08974358974358974,1.2834753820054152,2.3912082588610675,94.39612396587239,82.52080265555229,276.6891787682192,411.248580579491,10.593655311117818,0.3677726781461388,223.90625,79.8,0.4227698020079729,5816e57,2026-08-01T20:53:51.352081+00:00
calib-sweep-w1-learned-seed1,w1,FRECOS,True,learned,248,10,0.9,1,eval,1134,401,733,25,555,367,31,0.35361552028218696,0.06234413965087282,0.9152119700748129,0.0773067331670823,1.0916302685928867,1.679725237604498,82.01462639272577,73.80936892508817,228.5517382254492,354.7438633137341,12.1929470874075,0.36306188096326913,218.203125,79.0,0.40733880287528845,5816e57,2026-08-01T20:53:52.310859+00:00
calib-sweep-w1-learned-seed2,w1,FRECOS,True,learned,248,10,0.9,2,eval,1134,356,778,34,600,315,39,0.31393298059964725,0.09550561797752809,0.8848314606741573,0.10955056179775281,1.1473060006403604,2.4356812261669982,99.17321250565682,86.42782626271355,283.1524218394743,398.6659816924967,10.083368025846296,0.3543535078994497,222.984375,80.7,0.36271430611003436,5816e57,2026-08-01T20:53:53.234612+00:00
calib-sweep-w1-learned-seed3,w1,FRECOS,True,learned,248,10,0.9,3,eval,1134,314,820,14,642,281,31,0.2768959435626102,0.044585987261146494,0.8949044585987261,0.09872611464968153,1.1968836917320365,2.856611404674438,102.0002516314851,89.77619712687114,284.83791597558326,428.3645841083736,9.803897382654332,0.429602071387999,151.390625,71.6,0.47921294127638475,5816e57,2026-08-01T20:53:54.160992+00:00
calib-sweep-w1-learned-seed4,w1,FRECOS,True,learned,248,10,0.9,4,eval,1134,407,727,19,562,371,35,0.35890652557319225,0.04668304668304668,0.9115479115479116,0.085995085995086,2.2678494883183165,4.007990556077889,95.85488989734257,80.22161210695832,292.86387710129185,464.5066596308254,10.432435956798521,0.35233124513398756,146.8125,81.9,0.3968197932684652,5816e57,2026-08-01T20:53:55.075903+00:00
