source,cluster_count_k,metric,median,ci_lo,ci_hi
sweeps/cluster_k,5,hit_rate,0.6032407407407407,0.5443121693121693,0.6294973544973544
sweeps/cluster_k,5,stale_hit_rate,0.06153857376769638,0.05327181208053691,0.0841079120380866
sweeps/cluster_k,10,hit_rate,0.5624338624338625,0.5393518518518519,0.591005291005291
sweeps/cluster_k,10,stale_hit_rate,0.07073437933325591,0.05942248744818586,0.09085945741633439
sweeps/cluster_k,20,hit_rate,0.5630291005291006,0.5551587301587302,0.5863756613756613
sweeps/cluster_k,20,stale_hit_rate,0.07436523056752745,0.06448782627769248,0.08614884351059751
sweeps/cluster_k,50,hit_rate,0.5974867724867725,0.5828042328042328,0.6054232804232804
sweeps/cluster_k,50,stale_hit_rate,0.07790048923185555,0.06046087154916724,0.08621870414016988
