run_id,workload,policy,gate_enabled,lambda_source,cache_size_entries,cluster_count_k,ttl_confidence,seed,split,n_queries,n_hits,n_misses,n_stale_hits_served,n_stale_hits_prevented,n_false_hits,n_useful_hits,hit_rate,stale_hit_rate,false_hit_rate,useful_hit_rate,cost_saved_usd,cost_spent_usd,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_qps,overhead_mean_ms,peak_rss_mb,cpu_pct,cluster_ari,git_sha,timestamp
sweep-cache_size-495-seed0,w1,FRECOS,True,learned,495,10,0.9,0,eval,1890,675,1215,59,1012,613,59,0.35714285714285715,0.0874074074074074,0.9081481481481481,0.0874074074074074,0.20521078171962787,4.040757315708909,95.0593349792708,81.13454270741155,292.09649127008424,468.4681035925168,10.519745380272921,0.33209263564213104,206.203125,92.0,0.5229378675187831,eeb95b1,2026-08-08T15:34:38.191517+00:00
sweep-cache_size-495-seed1,w1,FRECOS,True,learned,495,10,0.9,1,eval,1890,635,1255,43,1045,581,49,0.335978835978836,0.06771653543307087,0.9149606299212598,0.07716535433070866,0.11059956028138054,2.809133208583249,86.393629114377,80.3086804261856,246.51576751937324,383.33776841451447,11.57492757569073,0.33639266738352713,219.640625,93.7,0.41935936310109573,eeb95b1,2026-08-08T15:34:39.356824+00:00
sweep-cache_size-495-seed2,w1,FRECOS,True,learned,495,10,0.9,2,eval,1890,574,1316,29,1130,523,46,0.3037037037037037,0.050522648083623695,0.9111498257839721,0.08013937282229965,0.15274329725151436,4.31671010414203,101.91753686770885,91.74145497071129,279.8253326417333,415.4483500570959,9.811854080598724,0.31191838446945425,217.0,94.2,0.45350574293588486,eeb95b1,2026-08-08T15:34:40.451391+00:00
sweep-cache_size-495-seed3,w1,FRECOS,True,learned,495,10,0.9,3,eval,1890,552,1338,48,1138,489,60,0.2920634920634921,0.08695652173913043,0.8858695652173914,0.10869565217391304,0.19087148785599023,4.532308724438558,100.36687778318174,84.8627846917461,293.95229168177997,479.23379764302655,9.963446328979737,0.3144457744879195,214.015625,93.2,0.4088871256432895,eeb95b1,2026-08-08T15:34:41.504277+00:00
sweep-cache_size-495-seed4,w1,FRECOS,True,learned,495,10,0.9,4,eval,1890,725,1165,47,987,673,50,0.3835978835978836,0.06482758620689655,0.9282758620689655,0.06896551724137931,0.2975178051745132,6.288784662835326,90.58465765568482,77.14484452936236,277.4175458638259,418.5477813682851,11.039397022407833,0.3513567750964304,199.78125,88.8,0.3946334934250692,eeb95b1,2026-08-08T15:34:42.644123+00:00
sweep-cache_size-825-seed0,w1,FRECOS,True,learned,825,10,0.9,0,eval,1890,675,1215,59,1012,613,59,0.35714285714285715,0.0874074074074074,0.9081481481481481,0.0874074074074074,0.20521078171962787,4.040757315708909,95.07226078297094,81.09702168538885,292.1499145028324,468.511375366128,10.518315140130937,0.3450184393422826,199.65625,94.0,0.5229378675187831,eeb95b1,2026-08-08T15:34:43.867704+00:00
sweep-cache_size-825-seed1,w1,FRECOS,True,learned,825,10,0.9,1,eval,1890,635,1255,43,1045,581,49,0.335978835978836,0.06771653543307087,0.9149606299212598,0.07716535433070866,0.11059956028138054,2.809133208583249,86.39922854294275,80.3028181833844,246.5278550124604,383.26239814620027,11.574177418759854,0.3419920959492662,199.65625,92.9,0.41935936310109573,eeb95b1,2026-08-08T15:34:45.018494+00:00
sweep-cache_size-825-seed2,w1,FRECOS,True,learned,825,10,0.9,2,eval,1890,574,1316,29,1130,523,46,0.3037037037037037,0.050522648083623695,0.9111498257839721,0.08013937282229965,0.15274329725151436,4.31671010414203,101.91866444409534,91.76578895984255,279.86088957429536,415.46886219844146,9.811745527224037,0.3130459608559413,199.640625,95.1,0.45350574293588486,eeb95b1,2026-08-08T15:34:46.102704+00:00
sweep-cache_size-825-seed3,w1,FRECOS,True,learned,825,10,0.9,3,eval,1890,552,1338,48,1138,489,60,0.2920634920634921,0.08695652173913043,0.8858695652173914,0.10869565217391304,0.19087148785599023,4.532308724438558,100.37586593343181,84.9001905127777,293.96724444115483,479.2516310285267,9.962554152839777,0.3234339247380073,186.203125,93.5,0.4088871256432895,eeb95b1,2026-08-08T15:34:47.163234+00:00
sweep-cache_size-825-seed4,w1,FRECOS,True,learned,825,10,0.9,4,eval,1890,725,1165,47,987,673,50,0.3835978835978836,0.06482758620689655,0.9282758620689655,0.06896551724137931,0.2975178051745132,6.288784662835326,90.52075124356342,77.11999049843658,277.39915677444367,418.5873433717975,11.047190685694911,0.2874503629750242,186.203125,94.2,0.3946334934250692,eeb95b1,2026-08-08T15:34:48.149407+00:00
sweep-cache_size-1320-seed0,w1,FRECOS,True,learned,1320,10,0.9,0,eval,1890,675,1215,59,1012,613,59,0.35714285714285715,0.0874074074074074,0.9081481481481481,0.0874074074074074,0.20521078171962787,4.040757315708909,95.05252752347778,81.0807506942069,292.0572367409736,468.53160873410525,10.520498781613167,0.32528517984910793,186.203125,92.4,0.5229378675187831,eeb95b1,2026-08-08T15:34:49.369688+00:00
sweep-cache_size-1320-seed1,w1,FRECOS,True,learned,1320,10,0.9,1,eval,1890,635,1255,43,1045,581,49,0.335978835978836,0.06771653543307087,0.9149606299212598,0.07716535433070866,0.11059956028138054,2.809133208583249,86.39593469592678,80.33043092649488,246.59065532475876,383.3189081588553,11.57461868454264,0.33869824893329115,199.640625,94.6,0.41935936310109573,eeb95b1,2026-08-08T15:34:50.522487+00:00
sweep-cache_size-1320-seed2,w1,FRECOS,True,learned,1320,10,0.9,2,eval,1890,574,1316,29,1130,523,46,0.3037037037037037,0.050522648083623695,0.9111498257839721,0.08013937282229965,0.15274329725151436,4.31671010414203,101.9898191758942,91.90872691291354,279.92350631032554,415.50361828410223,9.804900215337915,0.3842006926547992,186.234375,82.6,0.45350574293588486,eeb95b1,2026-08-08T15:34:51.780298+00:00
sweep-cache_size-1320-seed3,w1,FRECOS,True,learned,1320,10,0.9,3,eval,1890,552,1338,48,1138,489,60,0.2920634920634921,0.08695652173913043,0.8858695652173914,0.10869565217391304,0.19087148785599023,4.532308724438558,100.37704866895307,84.90586866357805,293.9904169939104,479.21342375913656,9.962436764783094,0.32461666025926,186.234375,94.9,0.4088871256432895,eeb95b1,2026-08-08T15:34:52.926684+00:00
sweep-cache_size-1320-seed4,w1,FRECOS,True,learned,1320,10,0.9,4,eval,1890,725,1165,47,987,673,50,0.3835978835978836,0.06482758620689655,0.9282758620689655,0.06896551724137931,0.2975178051745132,6.288784662835326,90.54324295400563,77.13963600600042,277.4290528329933,418.5639353475167,11.044446469715936,0.3099420734172411,186.234375,94.7,0.3946334934250692,eeb95b1,2026-08-08T15:34:54.002152+00:00
